title,posted,rate,proposals,url
French - English Copy Writing,1 day ago,$100,30,https://www.peopleperhour.com/freelance-jobs/translation/french/french-english-copy-writing-2761188
I need a copy writing and flyer design.,3 weeks ago,$200,39,https://www.peopleperhour.com/freelance-jobs/design/other/i-need-a-copy-writing-and-flyer-design-2732765
Website Copywriting,13 hours ago,$26/hr,17,https://www.peopleperhour.com/freelance-jobs/writing/website-content/website-copywriting-2761693
Looking for someone that good write copy for websites.,4 weeks ago,$712,44,https://www.peopleperhour.com/freelance-jobs/writing/other/looking-for-someone-that-good-write-copy-for-websites-2730397
Copy writing for legal website,4 weeks ago,$37/hr,20,https://www.peopleperhour.com/freelance-jobs/marketing-pr/general-communications/copy-writing-for-legal-website-2728266
Copy For Virtual Assistant Website,2 days ago,$77,26,https://www.peopleperhour.com/freelance-jobs/writing/website-content/copy-for-virtual-assistant-website-2760163
Write a Screenplay,3 days ago,$142,12,https://www.peopleperhour.com/freelance-jobs/writing/screen-script-writing/write-a-screenplay-2759307
Advertorial & Content writing,1 hour ago,$$,28,https://www.peopleperhour.com/freelance-jobs/writing/website-content/advertorial-content-writing-2758420
Policy writing,6 days ago,$30,22,https://www.peopleperhour.com/freelance-jobs/business-support/business-development/policy-writing-2755469
Seasoned Copywriter,1 week ago,$237,32,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/seasoned-copywriter-2754416
I need someone to write content on my web pages.,5 days ago,$25,31,https://www.peopleperhour.com/freelance-jobs/writing/website-content/i-need-someone-to-write-content-on-my-web-pages-2756518
Crowdfunding writing expert,6 days ago,$119,8,https://www.peopleperhour.com/freelance-jobs/writing/technical-writing/crowdfunding-writing-expert-2756329
Script  Writing,2 weeks ago,$25,11,https://www.peopleperhour.com/freelance-jobs/writing/screen-script-writing/script-writing-2748048
Content Writing,2 weeks ago,$18,28,https://www.peopleperhour.com/freelance-jobs/writing/creative-writing/content-writing-2748769
Telecon interview with a company in France & answers in English,1 week ago,$89,14,https://www.peopleperhour.com/freelance-jobs/translation/french/telecon-interview-with-a-company-in-france-answers-in-engl-2752247
Content writing - Article writing Oil and GAS,1 week ago,$24,20,https://www.peopleperhour.com/freelance-jobs/marketing-pr/general-communications/content-writing-article-writing-oil-and-gas-2747753
THINKIFIC / BUILD A LANDING PAGE + (LEAD MAGNET-funnel) - URGENT,4 days ago,$8,9,https://www.peopleperhour.com/freelance-jobs/web-development/custom-website/thinkific-build-a-landing-page-lead-magnet-funnel-ur-2758058
Write The best Landing Page content for Ads and PPC,2 weeks ago,$90,16,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/write-the-best-landing-page-content-for-ads-and-ppc-2743615
Urgent blog writing & optimisation,2 days ago,$11/hr,19,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/urgent-blog-writing-optimisation-2759460
Urgent blog writing & optimisation,3 days ago,$15/hr,29,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/urgent-blog-writing-optimisation-2759370
HiI'm looking at hiring someone to write,1 week ago,$300,58,https://www.peopleperhour.com/freelance-jobs/writing/website-content/hii-m-looking-at-hiring-someone-to-write-2754041
CV writing,2 weeks ago,$117,49,https://www.peopleperhour.com/freelance-jobs/writing/other/cv-writing-2746914
Copy of a men's short sleeved button down shirt,1 week ago,$$,3,https://www.peopleperhour.com/freelance-jobs/design/other/copy-of-a-men-s-short-sleeved-button-down-shirt-2749774
Cyber security / technology personal blog ghostwriter,1 week ago,$101,23,https://www.peopleperhour.com/freelance-jobs/writing/ghost-writing/cyber-security-technology-personal-blog-ghostwriter-2750883
I need a copy of a agency contract typing up in word format.,1 week ago,$24,96,https://www.peopleperhour.com/freelance-jobs/admin/word-processing/i-need-a-copy-of-a-agency-contract-typing-up-in-word-format-2752650
Fill content on WP site (copy from similar sites via google),1 week ago,$30,20,https://www.peopleperhour.com/freelance-jobs/web-development/wordpress/fill-content-on-wp-site-copy-from-similar-sites-via-google-2752183
Looking for copywriters for ad copies,3 weeks ago,$150,24,https://www.peopleperhour.com/freelance-jobs/writing/creative-writing/looking-for-copywriters-for-ad-copies-2735877
I need work with Autocad,4 days ago,$20,44,https://www.peopleperhour.com/freelance-jobs/design/cad/i-need-work-with-autocad-2758002
Copy writer,4 weeks ago,$100,40,https://www.peopleperhour.com/freelance-jobs/marketing-pr/lead-generation/copy-writer-2728142
Mobile App Content Writing,6 days ago,$$,25,https://www.peopleperhour.com/freelance-jobs/writing/other/mobile-app-content-writing-2756393
Writing fintech blog articles in English,1 day ago,$50,14,https://www.peopleperhour.com/freelance-jobs/writing/technical-writing/writing-fintech-blog-articles-in-english-2760971
I need a professional writer who can write scientifically,6 days ago,$150,38,https://www.peopleperhour.com/freelance-jobs/writing/technical-writing/i-need-a-professional-writer-who-can-write-scientifically-2755383
Blog Writer Needed,3 weeks ago,$75,61,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/blog-writer-needed-2736144
CV and resume writing - need completed today,2 days ago,$108,25,https://www.peopleperhour.com/freelance-jobs/writing/cv-cover-letter/cv-and-resume-writing-need-completed-today-2759736
Mobile Edting Related Article SEO Writing,2 days ago,$300,30,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/mobile-edting-related-article-seo-writing-2759532
Journalist to write a newsletter article,7 days ago,$119,11,https://www.peopleperhour.com/freelance-jobs/writing/other/journalist-to-write-a-newsletter-article-2754841
I need a writer who can write the conclusion,2 weeks ago,$10/hr,26,https://www.peopleperhour.com/freelance-jobs/writing/technical-writing/i-need-a-writer-who-can-write-the-conclusion-2748607
I need content writer to write SOP for me,1 week ago,$15,6,https://www.peopleperhour.com/freelance-jobs/writing/letter/i-need-content-writer-to-write-sop-for-me-2754392
Content Writing for Corporate Brochure,1 week ago,$$,23,https://www.peopleperhour.com/freelance-jobs/marketing-pr/offline-marketing/content-writing-for-corporate-brochure-2753567
Product and department content writing,1 week ago,$356,27,https://www.peopleperhour.com/freelance-jobs/writing/technical-writing/product-and-department-content-writing-2752802
Write a compelling advert,2 weeks ago,$18,16,https://www.peopleperhour.com/freelance-jobs/writing/creative-writing/write-a-compelling-advert-2746031
Safeguarding Children Training Package Writing,5 days ago,$,7,https://www.peopleperhour.com/freelance-jobs/writing/other/safeguarding-children-training-package-writing-2728169
I need to write 10- 20 DVD Review articles,1 day ago,$15,32,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/i-need-to-write-10-20-dvd-review-articles-2760880
Content writing and designing company profile,5 days ago,$101,26,https://www.peopleperhour.com/freelance-jobs/writing/company-profile/content-writing-and-designing-company-profile-2756614
PDF Photoshop editing required for 250 files,2 days ago,$119,71,https://www.peopleperhour.com/freelance-jobs/video-photo-audio/photo-retouching-editing/pdf-photoshop-editing-required-for-250-files-2759877
Content Writing,3 weeks ago,$117,44,https://www.peopleperhour.com/freelance-jobs/writing/other/content-writing-2738056
Blog Writing For Website,2 weeks ago,$1.4k,48,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/blog-writing-for-website-2743966
Rewrite articles about fuel  for the blog (SEO-optimisation),24 hours ago,$30,23,https://www.peopleperhour.com/freelance-jobs/search-marketing/keyword-research/rewrite-articles-about-fuel-for-the-blog-seo-optimisation-2761399
Re-Type document on word and save as PDF file,2 hours ago,$36,94,https://www.peopleperhour.com/freelance-jobs/admin/other/re-type-document-on-word-and-save-as-pdf-file-2762417
Need copy of 3 pre-built woocommerce websites,2 weeks ago,$20,12,https://www.peopleperhour.com/freelance-jobs/web-development/wordpress/need-copy-of-3-pre-built-woocommerce-websites-2743957
Website content writing around 5 pages must have example of property site,3 days ago,$18/hr,25,https://www.peopleperhour.com/freelance-jobs/admin/other/website-content-writing-around-5-pages-must-have-example-of-2743375
SEO Copywriter,4 weeks ago,$129,21,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/seo-copywriter-2729877
"I need a writer who can write Novels, stories etc",2 weeks ago,$10/hr,34,https://www.peopleperhour.com/freelance-jobs/writing/e-book/i-need-a-writer-who-can-write-novels-stories-etc-2748459
Blog Writing,3 weeks ago,$15,51,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/blog-writing-2735489
Creative Digital Copywriter,2 weeks ago,$415,36,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/creative-digital-copywriter-2748101
Woodworking / Furniture making expert [How-to Guide Writing Job],13 hours ago,$240,9,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/woodworking-furniture-making-expert-how-to-guide-writing-2761771
Influencer Media Kit,23 hours ago,$30,7,https://www.peopleperhour.com/freelance-jobs/marketing-pr/other/influencer-media-kit-2761421
Help writing a biography,3 weeks ago,$119,40,https://www.peopleperhour.com/freelance-jobs/writing/ghost-writing/help-writing-a-biography-2734242
Good bloggers to help me write articles about manufacturing.,1 week ago,$20,21,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/good-bloggers-to-help-me-write-articles-about-manufacturing-2752349
Professional content writing for residential property company,5 days ago,$119,27,https://www.peopleperhour.com/freelance-jobs/writing/website-content/professional-content-writing-for-residential-property-compan-2757225
Pattern Grader,2 days ago,$119,17,https://www.peopleperhour.com/freelance-jobs/design/other/pattern-grader-2759945
Some small adjustments on my logo,2 days ago,$30,50,https://www.peopleperhour.com/freelance-jobs/design/logo-design/some-small-adjustments-on-my-logo-2760287
Requirement: Copywriter,2 days ago,$100,13,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/requirement-copywriter-2759929
I need a write up,4 weeks ago,$59,38,https://www.peopleperhour.com/freelance-jobs/admin/other/i-need-a-write-up-2724635
We need content writers to write 3-5 articles per week.,2 days ago,$100,38,https://www.peopleperhour.com/freelance-jobs/writing/website-content/we-need-content-writers-to-write-3-5-articles-per-week-2760588
Content Writers Needed to Write Unique Cannabis Content,2 days ago,$37,21,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/content-writers-needed-to-write-unique-cannabis-content-2760504
Reviewing (and potentially re-writing) a CV,3 weeks ago,$59,64,https://www.peopleperhour.com/freelance-jobs/writing/cv-cover-letter/reviewing-and-potentially-re-writing-a-cv-2739770
I need someone to help me write a letter of introduction in Chin,2 weeks ago,$115,19,https://www.peopleperhour.com/freelance-jobs/writing/other/i-need-someone-to-help-me-write-a-letter-of-introduction-in-2745443
**24 HOURS PROJECT**  COPY WRITER REQUIRED TO CHANGE WEBSITE TXT,1 week ago,$119,18,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/24-hours-project-copy-writer-required-to-change-website-2752978
Content Writing Job for Established Footwear Site,6 days ago,$20,20,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/content-writing-job-for-established-footwear-site-2755486
5 SEO Articles Needed.,3 days ago,$95,38,https://www.peopleperhour.com/freelance-jobs/writing/website-content/5-seo-articles-needed-2758266
Posters and catalogues for Supermarket products.,3 days ago,$30/hr,38,https://www.peopleperhour.com/freelance-jobs/design/other/posters-and-catalogues-for-supermarket-products-2758281
Social media and Email content creation,3 weeks ago,$148,20,https://www.peopleperhour.com/freelance-jobs/social-media/community-management/social-media-and-email-content-creation-2735568
Copywriting for blog post,2 weeks ago,$18,26,https://www.peopleperhour.com/freelance-jobs/writing/other/copywriting-for-blog-post-2744696
I need to cutom two templates and buld two website,2 weeks ago,$119,47,https://www.peopleperhour.com/freelance-jobs/web-development/custom-website/i-need-to-cutom-two-templates-and-buld-two-website-2748624
Intellectual property digital facebook,4 days ago,$59/hr,11,https://www.peopleperhour.com/freelance-jobs/business-support/legal/intellectual-property-digital-facebook-2757555
Content Writing - Conferences Incorporating Sustainability,2 weeks ago,$34,10,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/content-writing-conferences-incorporating-sustainability-2748700
Help with writing content for Children's workshop,2 weeks ago,$117,28,https://www.peopleperhour.com/freelance-jobs/writing/other/help-with-writing-content-for-children-s-workshop-2743169
Dxf files for drawer unit and table top with fittings,6 days ago,$326,4,https://www.peopleperhour.com/freelance-jobs/software-development/other/dxf-files-for-drawer-unit-and-table-top-with-fittings-2755871
Write An Outline And Some Research About London's Clubs,2 weeks ago,$119,11,https://www.peopleperhour.com/freelance-jobs/writing/other/write-an-outline-and-some-research-about-london-s-clubs-2748450
Company Profile,1 week ago,$200,28,https://www.peopleperhour.com/freelance-jobs/design/brochure-flyer-leaflet/company-profile-2749775
Commercial contracts and Agreements - Ad Hoc Basis,2 days ago,$307,16,https://www.peopleperhour.com/freelance-jobs/business-support/legal/commercial-contracts-and-agreements-ad-hoc-basis-2759505
Create ERC-20 token and write White Paper,4 days ago,$2.6k,5,https://www.peopleperhour.com/freelance-jobs/software-development/other/create-erc-20-token-and-write-white-paper-2756385
Need a writer to write 5 articles about iOS device,2 weeks ago,$100,28,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/need-a-writer-to-write-5-articles-about-ios-device-2744364
I need someone to hand write thank you notes for my customers,2 weeks ago,$47,33,https://www.peopleperhour.com/freelance-jobs/writing/other/i-need-someone-to-hand-write-thank-you-notes-for-my-customer-2742183
20 Business Cards,1 week ago,$22,55,https://www.peopleperhour.com/freelance-jobs/design/business-card-stationery/20-business-cards-2750021
Dutch Language E-commerce Site Translation,5 days ago,$591,14,https://www.peopleperhour.com/freelance-jobs/translation/other/dutch-language-e-commerce-site-translation-2756615
Urgent national press release writing,2 weeks ago,$59,16,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/urgent-national-press-release-writing-2747179
Social Media Marketer,2 days ago,$600,13,https://www.peopleperhour.com/freelance-jobs/marketing-pr/other/social-media-marketer-2760277
Urban planning and development,58 minutes ago,$593,6,https://www.peopleperhour.com/freelance-jobs/writing/other/urban-planning-and-development-2762473
Landing Page Design and Build using Carrd.co,6 days ago,$172,18,https://www.peopleperhour.com/freelance-jobs/web-development/custom-website/landing-page-design-and-build-using-carrd-co-2755393
Content writing & Website improvemts,3 weeks ago,$$,14,https://www.peopleperhour.com/freelance-jobs/writing/creative-writing/content-writing-website-improvemts-2735084
Copywriter needed to write descriptions for designs in portfolio,1 week ago,$12,18,https://www.peopleperhour.com/freelance-jobs/writing/product-description-review/copywriter-needed-to-write-descriptions-for-designs-in-portf-2750851
Need someone to help with my business plan,1 day ago,$24/hr,38,https://www.peopleperhour.com/freelance-jobs/business-support/business-plan/need-someone-to-help-with-my-business-plan-2760906
Write and post 30 word text,2 weeks ago,$10,118,https://www.peopleperhour.com/freelance-jobs/admin/data-entry/write-and-post-30-word-text-2745408
I need a professional design website for my business.,3 hours ago,$70,26,https://www.peopleperhour.com/freelance-jobs/web-development/wordpress/i-need-a-professional-design-website-for-my-business-2762303
Clean Zoho | clean spreadsheet data | write Zoho best practice,4 days ago,$$,13,https://www.peopleperhour.com/freelance-jobs/marketing-pr/other/clean-zoho-clean-spreadsheet-data-write-zoho-best-practi-2758013
Transcribe appr6 60 pages  of cursive handwriting to Word file.,3 days ago,$103,89,https://www.peopleperhour.com/freelance-jobs/admin/transcription/transcribe-appr6-60-pages-of-cursive-handwriting-to-word-fi-2758152
Blog Writer - Experience In Digital Marketing Content Writing,1 week ago,$95,24,https://www.peopleperhour.com/freelance-jobs/search-marketing/article-submission/blog-writer-experience-in-digital-marketing-content-writin-2754666
Creative Writer Intern - On Site Wimbledon / London,2 weeks ago,$9/hr,2,https://www.peopleperhour.com/freelance-jobs/writing/creative-writing/creative-writer-intern-on-site-wimbledon-london-2744659
I need an English copywriter for making my website's copies,4 weeks ago,$150,31,https://www.peopleperhour.com/freelance-jobs/writing/website-content/i-need-an-english-copywriter-for-making-my-website-s-copies-2729178
Need informational blog article writer,5 days ago,$81,36,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/need-informational-blog-article-writer-2756683
Need a PPC Specialist Fluent in Spanish - Spanish Market,4 weeks ago,$30/hr,10,https://www.peopleperhour.com/freelance-jobs/search-marketing/google-adwords/need-a-ppc-specialist-fluent-in-spanish-spanish-market-2727017
Blog and content writing for UK accountant,2 weeks ago,$24,23,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/blog-and-content-writing-for-uk-accountant-2743790
UK Energy Switching Landing Page Copy,4 weeks ago,$36,18,https://www.peopleperhour.com/freelance-jobs/writing/website-content/uk-energy-switching-landing-page-copy-2728307
I need help in writing good Statement of Purpose for a UK University Admission,1 week ago,$59,18,https://www.peopleperhour.com/freelance-jobs/writing/creative-writing/i-need-help-in-writing-good-statement-of-purpose-for-a-uk-un-2753293
We need a Content Writer for Website,4 days ago,$200,9,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/we-need-a-content-writer-for-website-2757310
Fourtune telling application,3 hours ago,$200,11,https://www.peopleperhour.com/freelance-jobs/mobile/iphone-app/fourtune-telling-application-2762306
Internet market research,20 hours ago,$100,30,https://www.peopleperhour.com/freelance-jobs/writing/other/internet-market-research-2761651
"Improve font style, size, heading etc  on WordPress website",1 week ago,$109,47,https://www.peopleperhour.com/freelance-jobs/design/website-design/improve-font-style-size-heading-etc-on-wordpress-website-2750176
Travel blog writer,2 hours ago,$30,25,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/travel-blog-writer-2762383
I want to created a project about Facebook videos,5 days ago,$31/hr,13,https://www.peopleperhour.com/freelance-jobs/social-media/facebook/i-want-to-created-a-project-about-facebook-videos-2756443
Small script writing / vector type mark,2 weeks ago,$30,20,https://www.peopleperhour.com/freelance-jobs/design/illustration-graphics/small-script-writing-vector-type-mark-2747076
Digital Marketing Assistant,4 weeks ago,$12/hr,25,https://www.peopleperhour.com/freelance-jobs/marketing-pr/other/digital-marketing-assistant-2730310
Content Writer,1 week ago,$350,32,https://www.peopleperhour.com/freelance-jobs/writing/website-content/content-writer-2752581
Write article about personal developement - David Goggins.,2 weeks ago,$59,46,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/write-article-about-personal-developement-david-goggins-2746683
Create 100 million tokens ERC-20 and write White Paper.,6 days ago,$1.5k,18,https://www.peopleperhour.com/freelance-jobs/software-development/script/create-100-million-tokens-erc-20-and-write-white-paper-2755292
Book.. coming soon trailer,2 weeks ago,$24/hr,20,https://www.peopleperhour.com/freelance-jobs/video-photo-audio/promotional-videos/book-coming-soon-trailer-2746733
Photo album project,4 days ago,$600,23,https://www.peopleperhour.com/freelance-jobs/web-development/other/photo-album-project-2757900
Facebook Ads Manager,2 weeks ago,$42/hr,25,https://www.peopleperhour.com/freelance-jobs/social-media/facebook/facebook-ads-manager-2747671
Tester required for testing mobile app in Android and iOS,1 day ago,$75,19,https://www.peopleperhour.com/freelance-jobs/software-development/other/tester-required-for-testing-mobile-app-in-android-and-ios-2760724
Help writing my cv for property management assistant jobs,2 weeks ago,$59,40,https://www.peopleperhour.com/freelance-jobs/writing/cv-cover-letter/help-writing-my-cv-for-property-management-assistant-jobs-2746052
Looking for android developer to make plugin & write JNI class.,2 weeks ago,$20,7,https://www.peopleperhour.com/freelance-jobs/software-development/java-programming/looking-for-android-developer-to-make-plugin-write-jni-cla-2745797
IOS developer to write a comprehensive documentation for our app,2 weeks ago,$164,8,https://www.peopleperhour.com/freelance-jobs/software-development/application-development/ios-developer-to-write-a-comprehensive-documentation-for-our-2745779
Chinese Business Expansion,5 days ago,$616,12,https://www.peopleperhour.com/freelance-jobs/business-support/other/chinese-business-expansion-2756644
2 X N244 FORMS AND A REMOVAL OF A JUDGEMENT UK ONLY,4 days ago,$119,11,https://www.peopleperhour.com/freelance-jobs/business-support/legal/2-x-n244-forms-and-a-removal-of-a-judgement-uk-only-2757383
"Health, nutrition and science writer for blog content",3 hours ago,$60,8,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/health-nutrition-and-science-writer-for-blog-content-2762348
"I need to write my professional CV, cover letter & linkedin acc",2 weeks ago,$107,44,https://www.peopleperhour.com/freelance-jobs/business-support/other/i-need-to-write-my-professional-cv-cover-letter-linkedin-2749413
Need a blogger with medical background,3 days ago,$28/hr,35,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/need-a-blogger-with-medical-background-2759333
"Audio to Text Transcriptions, Product Writer, all in English",4 hours ago,$400,37,https://www.peopleperhour.com/freelance-jobs/admin/transcription/audio-to-text-transcriptions-product-writer-all-in-english-2762217
SEO-Friendly Blog Writing,3 weeks ago,$107,42,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/seo-friendly-blog-writing-2733904
Write and publish a press release,3 weeks ago,$135,15,https://www.peopleperhour.com/freelance-jobs/marketing-pr/press-releases/write-and-publish-a-press-release-2733791
